"","id","user_id","quality_grade","latitude","longitude","species","scientific_name"
"306",1004352,58909,"research",-41.33973259,174.7659817,"Kaka","Nestor meridionalis"
"307",1004353,58909,"research",-41.24115572,174.7840333,"Kaka","Nestor meridionalis"
"308",1004365,58758,"casual",-41.21277782,174.7292714,"Kaka","Nestor meridionalis"
"309",1004369,58758,"casual",-41.23424154,174.7880883,"Kaka","Nestor meridionalis"
"310",1004370,58758,"research",-41.35150387,174.7578532,"Kaka","Nestor meridionalis"
"311",1004372,58758,"research",-41.31728254,174.8614637,"Kaka","Nestor meridionalis"
"312",1004386,59033,"research",-41.27473421,174.6896197,"Kaka","Nestor meridionalis"
"313",1004392,59040,"research",-41.28870523,174.8205283,"Kaka","Nestor meridionalis"
"314",1004412,59040,"research",-41.31642892,174.8463096,"Kaka","Nestor meridionalis"
"315",1004508,59033,"casual",-41.35266423,174.778428,"Kaka","Nestor meridionalis"
"316",1004527,58758,"casual",-41.31032952,174.8518135,"Kaka","Nestor meridionalis"
"317",1004530,58758,"research",-41.2468562,174.6910843,"Kaka","Nestor meridionalis"
"318",1004531,58758,"research",-41.32120805,174.6681633,"Kaka","Nestor meridionalis"
"319",1004864,57756,"research",-40.83638203,174.9090111,"Kaka","Nestor meridionalis septentrionalis"
"320",1005851,59040,"casual",-41.38519134,174.7446955,"Kaka","Nestor meridionalis"
"321",1005854,59040,"casual",-41.26952835,174.7101969,"Kaka","Nestor meridionalis"
"322",1005867,58758,"research",-41.22610076,174.7236083,"Kaka","Nestor meridionalis"
"323",1005883,58909,"research",-41.36180014,174.827382,"Kaka","Nestor meridionalis"
